S.No,Name,Ticker,CMP Rs.,Vol 1d,ROCE %
174.,ITC Hotels,ITCHOTELS,246.85,5098740,9.63
175.,H U D C O,HUDCO,225.35,1969591,9.62
176.,B.L.Kashyap,BLKASHYAP,71.71,2904873,9.61
177.,FSN E-Commerce,NYKAA,221.00,7529038,9.56
178.,Nelcast,NELCAST,167.70,2280245,9.55
179.,Bajaj Housing,BAJAJHFL,122.00,3554420,9.55
180.,Trident,TRIDENT,29.75,13291446,9.52
181.,Sagility India,SAGILITY,43.64,11428446,9.48
182.,Samhi Hotels,SAMHI,241.00,1347188,9.43
183.,JM Financial,JMFINANCIL,167.00,5343302,9.39
184.,Indian Renewable,IREDA,156.20,4702480,9.37
185.,Aditya Birla Cap,ABCAPITAL,262.00,2404111,9.34
186.,IRB InvIT Fund,IRBINVIT,61.80,3467570,9.22
187.,Zee Entertainmen,ZEEL,132.00,21693924,9.21
188.,Bhagyanagar Ind,BHAGYANGR,108.83,2362668,9.17
189.,SpiceJet,SPICEJET,38.39,2554982,9.08
190.,LIC Housing Fin.,LICHSGFIN,620.30,1089886,8.93
191.,SPML Infra,SPMLINFRA,299.00,1814999,8.92
192.,IOL Chemicals,IOLCP,96.40,1626704,8.85
193.,Orient Cement,ORIENTCEM,244.45,2675991,8.83
194.,Tata Steel,TATASTEEL,163.00,14653621,8.83
195.,IIFL Finance,IIFL,529.80,1297751,8.81
196.,M & M Fin. Serv.,M&MFIN,267.00,6534649,8.77
197.,L&T Finance Ltd,LTF,212.75,10999381,8.71
198.,RattanIndia Pow.,RTNPOWER,15.00,51278354,8.69
199.,Exide Inds.,EXIDEIND,396.85,3264329,8.65
200.,Triven.Engg.Ind.,TRIVENI,371.85,1381106,8.62
201.,Ujjivan Small,UJJIVANSFB,46.80,5292617,8.53
202.,Rama Steel Tubes,RAMASTEEL,11.42,4443620,8.50
203.,Primo Chemicals,PRIMO,28.68,1315655,8.43
204.,AU Small Finance,AUBANK,723.00,4957698,8.40
205.,ACME Solar Hold.,ACMESOLAR,285.90,1185158,8.40
206.,Star Cement,STARCEMENT,232.20,2769690,8.38
207.,Infibeam Avenues,INFIBEAM,16.35,10866022,8.27
208.,Hubtown,HUBTOWN,298.50,1327718,8.24
209.,Altius Telecom,543225,147.50,1725000,8.24
210.,IFCI,IFCI,60.20,3446960,8.08
211.,DCW,DCW,73.94,1017738,7.96
212.,Bandhan Bank,BANDHANBNK,180.50,7050585,7.83
213.,IRB Infra.Devl.,IRB,48.00,8185220,7.82
214.,Religare Enterp.,RELIGARE,287.00,9320171,7.70
215.,MMTC,MMTC,69.80,1976136,7.69
216.,DCB Bank,DCBBANK,141.00,1502660,7.67
217.,HFCL,HFCL,80.87,7842353,7.67
218.,UPL,UPL,723.00,4268059,7.66
219.,Vascon Engineers,VASCONEQ,56.47,1436739,7.56
220.,Karur Vysya Bank,KARURVYSYA,271.00,1635288,7.39
221.,NHPC Ltd,NHPC,86.00,6966245,7.39
222.,I O C L,IOC,151.55,11756919,7.37
223.,Utkarsh Small F.,UTKARSHBNK,22.80,1777502,7.17
224.,Federal Bank,FEDERALBNK,212.40,6332862,7.04
225.,RHI Magnesita,RHIM,517.35,11350430,7.01
226.,Aegis Vopak Term,AEGISVOPAK,295.00,1418146,7.01
227.,Den Networks,DEN,40.00,1252439,6.99
228.,Smartworks Cowor,SMARTWORKS,418.00,1936030,6.97
229.,GMR Airports,GMRAIRPORT,92.00,7841199,6.89
230.,City Union Bank,CUB,212.50,1326086,6.86
231.,Equitas Sma. Fin,EQUITASBNK,62.00,2825704,6.85
232.,Canara Bank,CANBK,109.75,43380974,6.79
